time_s,Cb,Cbrain,Effect
0.0,0.0,0.0,0.0
61.75839885632595,0.11225783329697048,0.005566520586480941,0.0007740541620057414
123.5167977126519,0.10512827632124049,0.010582929505040348,0.002792142036914446
185.27519656897783,0.09860841705985787,0.015057436391983562,0.005636212812759614
247.0335954253038,0.09264282527048964,0.019041070861251966,0.008982640302513957
308.79199428162974,0.08718114039812801,0.022580169556718648,0.012586170530962696
370.55039313795567,0.08217765485460896,0.02571676224286863,0.016264876350622785
432.30879199428165,0.0775908353568581,0.028489015279095038,0.01988707902778161
494.0671908506076,0.07338296606885426,0.03093156223947745,0.023360283053144006
555.8255897069336,0.06951981881262387,0.033075809445042174,0.026622108490489273
617.5839885632595,0.06597024714716444,0.0349503120329379,0.029633166934291175
679.3423874195854,0.06270604283123442,0.03658090692177428,0.03237112300497767
741.1007862759113,0.05970151382735095,0.037991103761961034,0.0348264527784789
802.8591851322373,0.05693335130776676,0.03920220813209482,0.03699882121197499
864.6175839885633,0.05438041330376474,0.0402335219551743,0.038894412307000775
926.3759828448892,0.05202342588844349,0.04110262031607306,0.04052407488866525
988.1343817012151,0.049844944744011424,0.04182538704587273,0.04190154952717848
1049.892780557541,0.047829108359955914,0.04241624333794184,0.04304245967616436
1111.651179413867,0.045961461872376264,0.04288831092358322,0.04396351039284859
1173.409578270193,0.04422893800404086,0.04325342970637787,0.04468165253693272
1235.167977126519,0.04261963751967579,0.043522361114318106,0.04521380290289929
1296.9263759828448,0.04112271435012552,0.04370489449486463,0.045576531466568766
1358.6847748391708,0.039728369879085755,0.043809852384505486,0.045785664860742814
1420.4431736954969,0.03842768051251316,0.04384525020410401,0.04585628904610905
1482.2015725518227,0.03721250194683698,0.043818384912590436,0.04580268432706781
1543.9599714081487,0.036075474843829766,0.04373582972833737,0.045638128719253206
1605.7183702644745,0.03500991084560475,0.04360353967827128,0.04537496674232069
1667.4767691208006,0.03400969254721785,0.043426944218190634,0.04502468628719289
1729.2351679771266,0.03306927745867962,0.04321094354273889,0.04459783033486685
1790.9935668334524,0.03218365352228143,0.0429599497598889,0.04410401971407205
1852.7519656897784,0.03134822869553453,0.0426779891142208,0.0435521117523047
1914.5103645461043,0.030558819780332664,0.04236871231631139,0.042950189114186355
1976.2687634024303,0.02981165796703606,0.04203538938618186,0.042305529783035735
2038.0271622587563,0.02910330280973972,0.041680989278416555,0.04162474967547853
2099.785561115082,0.028430602257283277,0.04130821686812524,0.04091386593235678
2161.543959971408,0.02779069784702314,0.04091950812055017,0.04017828446094323
2223.302358827734,0.02718101240390322,0.040517041462534785,0.03942282334520067
2285.06075768406,0.02659917917447603,0.04010280334635395,0.038651840015951275
2346.819156540386,0.026043031151687004,0.03967859811943236,0.037869253288433644
2408.577555396712,0.025510608994903275,0.03924604066786487,0.037078535751944655
2470.335954253038,0.02500014212986218,0.03880657389395293,0.03628275394132037
2532.094353109364,0.024509999915297658,0.038361513866895416,0.0354846579890693
2593.8527519656895,0.024038687426135515,0.03791205371630276,0.034686695099710424
2655.6111508220156,0.023584852089022317,0.03745925746463647,0.03389100616351854
2717.3695496783416,0.023147273801865927,0.03700406915882239,0.03309945048056995
2779.1279485346677,0.022724826439317645,0.036547348433185814,0.032313675517648834
2840.8863473909937,0.0223164741348518,0.03608987394026376,0.031535128944483765
2902.6447462473193,0.021921273645675105,0.03563234113709893,0.03076506130667999
2964.4031451036453,0.02153837918781681,0.035175357808271863,0.030004525587405552
3026.1615439599714,0.02116701129774557,0.03471947281143677,0.029254431935959398
3087.9199428162974,0.020806448944373862,0.034265183346886066,0.02851556464484027
3149.6783416726234,0.02045602949823858,0.033812934978517006,0.027788586888508732
3211.436740528949,0.020115155330269145,0.033363115503566056,0.027074035877526444
3273.195139385275,0.019783285277896225,0.03291606283778134,0.026372340670706887
3334.953538241601,0.019459915907613833,0.03247208226586986,0.025683853589603633
3396.711937097927,0.019144580528396613,0.03203144734673438,0.025008854836636677
3458.470335954253,0.018836849393999506,0.03159439971324993,0.024347555377677407
3520.2287348105788,0.0185363359709532,0.031161143256763012,0.02370009152190674
3581.987133666905,0.018242688077216837,0.030731852307312665,0.023066540673803194
3643.745532523231,0.017955576228589492,0.030306682321568756,0.022446939788229595
3705.503931379557,0.0176746933165851,0.02988577017626539,0.021841287765785873
3767.262330235883,0.017399754607175872,0.029469234162509267,0.021249547381249026
3829.0207290922085,0.017130501705047818,0.029057170287606623,0.02067164204948646
3890.7791279485346,0.01686670111033694,0.028649653634940774,0.0201074599235904
3952.5375268048606,0.016608133364213226,0.028246748283790892,0.01955686943289411
4014.2959256611866,0.016354592167008096,0.027848508107320483,0.01901972150811457
4076.0543245175127,0.016105884378214412,0.02745497677257741,0.018495850647420865
4137.812723373839,0.01586183045412391,0.027066187311481263,0.017985075402473717
4199.571122230164,0.015622268768843917,0.026682158128681237,0.01748719429805275
4261.32952108649,0.015387049993136316,0.026302898181389943,0.017001993791361768
4323.087919942816,0.01515603231523228,0.02592841128529656,0.01652925457490092
4384.846318799142,0.01492908138632807,0.025558696162137542,0.016068752154527785
4446.604717655468,0.014706070320585025,0.02519374643969659,0.015620257350326619
4508.363116511794,0.01448687990139608,0.024833550440714787,0.01518353652856379
4570.12151536812,0.014271401779364293,0.02447808821383076,0.014758348562516873
4631.879914224446,0.01405953585774101,0.024127333984364525,0.014344448415221398
4693.638313080772,0.013851186244443644,0.02378125974719832,0.013941591785468572
4755.396711937098,0.013646261139963685,0.023439835360836953,0.013549535407615087
4817.155110793424,0.013444672837366722,0.023103028547407835,0.01316803722847304
