name,diff_t_end_h,diff_coverage_time_h,diff_coverage_auc_hxfraction,diff_max_coverage_fraction,diff_max_overdose_fraction,diff_first_coverage_h,diff_last_coverage_h,pk_t_end_h,pk_time_in_therapeutic_h,pk_frac_time_in_therapeutic,pk_time_above_toxic_h,pk_mean_Cbrain,pk_max_Cbrain
grid_rate1.5e-03_dur8h_ramp1h,48.0,0.0,0.0,0.0,0.01123046875,,,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate1.5e-03_dur8h_ramp2h,48.0,0.0,0.0,0.0,0.0107421875,,,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate1.5e-03_dur12h_ramp1h,48.0,0.0,0.0,0.0,0.01123046875,,,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate1.5e-03_dur12h_ramp2h,48.0,0.0,0.0,0.0,0.01123046875,,,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate1.5e-03_dur16h_ramp1h,48.0,0.0,0.0,0.0,0.01171875,,,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate1.5e-03_dur16h_ramp2h,48.0,0.0,0.0,0.0,0.01171875,,,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.0e-03_dur8h_ramp1h,48.0,3.0,0.06733333333333333,0.024,0.0185546875,8.166666666666666,11.083333333333334,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.0e-03_dur8h_ramp2h,48.0,2.3333333333333335,0.050666666666666665,0.024,0.0185546875,8.666666666666666,10.916666666666666,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.0e-03_dur12h_ramp1h,48.0,7.416666666666667,0.24733333333333335,0.056,0.01904296875,8.166666666666666,15.5,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.0e-03_dur12h_ramp2h,48.0,6.916666666666667,0.21333333333333335,0.048,0.01904296875,8.666666666666666,15.5,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.0e-03_dur16h_ramp1h,48.0,11.5,0.502,0.064,0.01904296875,8.166666666666666,19.583333333333332,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.0e-03_dur16h_ramp2h,48.0,11.0,0.466,0.064,0.01904296875,8.666666666666666,19.583333333333332,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.5e-03_dur8h_ramp1h,48.0,5.583333333333333,0.256,0.064,0.02783203125,6.666666666666667,12.166666666666666,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.5e-03_dur8h_ramp2h,48.0,5.0,0.21200000000000002,0.064,0.02734375,7.166666666666667,12.083333333333334,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.5e-03_dur12h_ramp1h,48.0,9.833333333333334,0.6813333333333333,0.104,0.02783203125,6.666666666666667,16.416666666666668,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.5e-03_dur12h_ramp2h,48.0,9.333333333333334,0.6186666666666666,0.104,0.02783203125,7.166666666666667,16.416666666666668,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.5e-03_dur16h_ramp1h,48.0,13.916666666666666,1.144,0.112,0.02783203125,6.666666666666667,20.5,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
grid_rate2.5e-03_dur16h_ramp2h,48.0,13.416666666666666,1.08,0.112,0.02783203125,7.166666666666667,20.5,24.0,9.795568263045032,0.40814867762687634,0.0,0.039038523572837214,0.08646865757254332
