time_s,avg_target,coverage_target,frac_overdose,total_mass_proxy
0.0,0.0,0.0,0.0,0.0
300.0,2.5817860924695413e-29,0.0,0.001953125,0.002165700639910712
600.0,3.332560174533079e-20,0.0,0.00244140625,0.00426736360670155
900.0,2.8110931633566386e-16,0.0,0.00341796875,0.0063068824324253895
1200.0,6.931107628646593e-14,0.0,0.00537109375,0.008286094659223848
1500.0,3.1113982352164916e-12,0.0,0.00634765625,0.010206783494894801
1800.0,5.1961656283833405e-11,0.0,0.0068359375,0.012070679419506375
2100.0,4.593360514795504e-10,0.0,0.00732421875,0.013879461744504905
2400.0,2.6218608765871273e-09,0.0,0.0087890625,0.015634760125721608
2700.0,1.0918729953457192e-08,0.0,0.009765625,0.017338156031641058
3000.0,3.5932979368297745e-08,0.0,0.0107421875,0.01899118416825445
3300.0,9.869742910678513e-08,0.0,0.01123046875,0.020595333861781282
3600.0,2.352067295465699e-07,0.0,0.01220703125,0.022152050400505302
3900.0,5.002959330637722e-07,0.0,0.0126953125,0.023662736336933703
4200.0,9.701624252714465e-07,0.0,0.013671875,0.02512875275145265
4500.0,1.7431516459832311e-06,0.0,0.01416015625,0.02655142047861784
4800.0,2.9387794514792456e-06,0.0,0.01513671875,0.027932021297184723
5100.0,4.69522933582299e-06,0.0,0.0166015625,0.029271799084950798
5400.0,7.165711807598962e-06,0.0,0.01708984375,0.03057196093945022
5700.0,1.0514119302935743e-05,0.0,0.01708984375,0.031833678265510666
6000.0,1.4910383703968219e-05,0.0,0.0185546875,0.033058087830652096
6300.0,2.0525876341440384e-05,0.0,0.0185546875,0.034246292789278474
6600.0,2.7529107211743603e-05,0.0,0.01904296875,0.035399363676585055
6900.0,3.608189760883361e-05,0.0,0.02001953125,0.03651833937307689
7200.0,4.6336127758985443e-05,0.0,0.0205078125,0.03760422804056736
7500.0,5.843110234599262e-05,0.0,0.0205078125,0.03865800803050013
7800.0,7.249153263451063e-05,0.0,0.02099609375,0.03968062876541309
8100.0,8.862610296205189e-05,0.0,0.021484375,0.040673011594337956
8400.0,0.0001069265695440938,0.0,0.02197265625,0.041636050622906796
8700.0,0.00012746732847628898,0.0,0.02197265625,0.04257061351891295
9000.0,0.00015030538531776155,0.0,0.0224609375,0.0434775422940524
9300.0,0.00017548065880129143,0.0,0.0234375,0.0443576540625497
9600.0,0.00020301655449931494,0.0,0.02392578125,0.04521174177735215
9900.0,0.00023292074948515752,0.0,0.02490234375,0.04604057494455542
10200.0,0.00026518613527756844,0.0,0.02587890625,0.04684490031670421
10500.0,0.0002997918730064345,0.0,0.0263671875,0.047625442565592806
10800.0,0.0003367045213513166,0.0,0.02734375,0.04838290493517147
11100.0,0.00037587920409785507,0.0,0.02734375,0.04911796987514709
11400.0,0.00041726078995921027,0.0,0.02734375,0.04983129965584881
11700.0,0.00046078506253128225,0.0,0.02734375,0.050523536964912734
12000.0,0.0005063798628591526,0.0,0.02734375,0.05119530548632325
12300.0,0.0005539661910938544,0.0,0.02783203125,0.05184721046233254
12600.0,0.0006034592571433748,0.0,0.0283203125,0.05247983923876484
12900.0,0.0006547694731142021,0.0,0.0283203125,0.05309376179419652
13200.0,0.0007078033827514728,0.0,0.02880859375,0.0536895312534887
13500.0,0.0007624645250710253,0.0,0.02880859375,0.054267684386135426
13800.0,0.0008186542309887873,0.0,0.029296875,0.05482874208987596
14100.0,0.0008762723530425907,0.0,0.029296875,0.055373209860007294
14400.0,0.0009352179293154046,0.0,0.029296875,0.05590157824481942
14700.0,0.0009953897834493709,0.0,0.029296875,0.05641432328756389
15000.0,0.0010566870632245104,0.0,0.029296875,0.05691190695535376
15300.0,0.0011190097205975651,0.0,0.029296875,0.057394777555381395
15600.0,0.0011822589363838587,0.0,0.029296875,0.05786337013882912
15900.0,0.0012463374929430648,0.0,0.029296875,0.05831810689283659
16200.0,0.00131115009831945,0.0,0.029296875,0.058759397520878144
16500.0,0.0013766036653064828,0.0,0.029296875,0.059187639611892655
16800.0,0.0014426075488697286,0.0,0.02978515625,0.05960321899849863
17100.0,0.001509073745283349,0.0,0.02978515625,0.060006510104617265
17400.0,0.0015759170562247638,0.0,0.0302734375,0.06039787628281655
17700.0,0.0016430552209378032,0.0,0.03125,0.06077767014168055
18000.0,0.0017104090194240418,0.0,0.03125,0.06114623386349853
18300.0,0.0017779023494607917,0.0,0.03125,0.06150389951256044
18600.0,0.0018454622800770104,0.0,0.03125,0.06185098933433636
18900.0,0.0019130190839489246,0.0,0.03125,0.062187816045809516
19200.0,0.0019805062510083542,0.008,0.03125,0.06251468311722448
19500.0,0.002047860485390812,0.016,0.03125,0.06283188504550416
19800.0,0.002115021687689178,0.024,0.03125,0.06313970761958232
20100.0,0.0021819329243233637,0.024,0.03173828125,0.06343842817789039
20400.0,0.002248540385687799,0.024,0.0322265625,0.06372831585823067
20700.0,0.002314793334597391,0.024,0.0322265625,0.06400963184026094
21000.0,0.002380644046419225,0.024,0.03271484375,0.06428262958080913
21300.0,0.0024460477421517995,0.024,0.033203125,0.06454755504222998
21600.0,0.0025109625155961554,0.024,0.033203125,0.06480464691400921
21900.0,0.0025753492556536894,0.024,0.033203125,0.06295958382239926
22200.0,0.0026391715646835556,0.024,0.033203125,0.06109792982725224
22500.0,0.0027023956737579845,0.024,0.03173828125,0.05929132314003254
22800.0,0.0027649903555087697,0.032,0.03076171875,0.05753813606508995
23100.0,0.002826926832856397,0.04,0.02880859375,0.05583678903616028
23400.0,0.0028881786546577012,0.048,0.02783203125,0.05418574919322588
